Name,Team,POS,Salary
Nick Perry,GB,OLB,"$6,937,500"
Spencer Long,NYJ,C,"$6,937,500"
Jared Veldheer,DEN,RT,"$6,909,066"
Derrick Morgan,TEN,OLB,"$6,906,250"
Zach Fulton,HOU,G,"$6,906,250"
Larry Warford,NO,G,"$6,900,000"
Marquise Goodwin,SF,WR,"$6,900,000"
Isaiah Wynn,NE,T,"$6,881,384"
Denico Autry,IND,DT,"$6,875,000"
Pierre Garcon,SF,WR,"$6,850,000"
Kam Chancellor,SEA,SS,"$6,800,000"
Eric Ebron,IND,TE,"$6,750,000"
Kareem Jackson,HOU,SS,"$6,750,000"
D.J. Moore,CAR,WR,"$6,684,593"
Bryan Bulaga,GB,RT,"$6,668,750"
Laken Tomlinson,SF,G,"$6,600,941"
Mitchell Trubisky,CHI,QB,"$6,597,656"
Hayden Hurst,BAL,TE,"$6,586,201"
Josh Sitton,MIA,G,"$6,500,000"
Vinny Curry,TB,DE,"$6,500,000"
William Gholston,TB,DE,"$6,500,000"
Calvin Ridley,ATL,WR,"$6,487,790"
Vontaze Burfict,CIN,OLB,"$6,397,904"
Rashaad Penny,SEA,RB,"$6,389,409"
Kyle Rudolph,MIN,TE,"$6,375,000"
Terrell Edmunds,PIT,SS,"$6,340,210"
LeSean McCoy,BUF,RB,"$6,325,000"
Mitchell Schwartz,KC,RT,"$6,300,000"
Kurt Coleman,NO,SS,"$6,300,000"
Max Unger,NO,C,"$6,250,000"
Tashaun Gipson,JAC,FS,"$6,250,000"
Mohamed Sanu,ATL,WR,"$6,125,000"
Todd Davis,DEN,ILB,"$6,074,262"
Bradley McDougald,SEA,SS,"$6,000,000"
Joel Bitonio,CLE,G,"$6,000,000"
Dion Lewis,TEN,RB,"$6,000,000"
Danny Amendola,MIA,WR,"$6,000,000"
Allen Bailey,KC,DE,"$6,000,000"
Dion Sims,CHI,TE,"$6,000,000"
Buster Skrine,NYJ,CB,"$6,000,000"
Tyrone Crawford,DAL,DE,"$6,000,000"
Alejandro Villanueva,PIT,LT,"$6,000,000"
Allen Hurns,DAL,WR,"$6,000,000"
Patrick Robinson,NO,CB,"$6,000,000"
Rodney McLeod,PHI,SS,"$6,000,000"
