Name,Team,POS,Salary
Damarious Randall,CLE,FS,"$9,087,471"
Trae Waynes,MIN,CB,"$9,069,000"
Arik Armstead,SF,DE,"$9,046,000"
Bobby Massie,CHI,RT,"$9,038,859"
Kyle Fuller,CHI,CB,"$9,017,471"
Justin Tucker,BAL,K,"$9,008,563"
Jimmy Graham,GB,TE,"$9,000,000"
Pierre Desir,IND,CB,"$9,000,000"
Kenny Moore,IND,CB,"$9,000,000"
Jamison Crowder,NYJ,WR,"$9,000,000"
Robert Alford,ARI,CB,"$9,000,000"
Ricky Wagner,DET,RT,"$9,000,000"
Stephon Tuitt,PIT,DE,"$9,000,000"
Steven Nelson,PIT,CB,"$9,000,000"
Brandon Brooks,PHI,G,"$8,999,999"
Dwayne Haskins,WAS,QB,"$8,999,808"
Dont'a Hightower,NE,ILB,"$8,945,305"
Star Lotulelei,BUF,DT,"$8,911,813"
Cordy Glenn,CIN,LT,"$8,830,795"
Jonathan Jones,NE,CB,"$8,795,000"
Harrison Smith,MIN,FS,"$8,750,000"
Travis Kelce,KC,TE,"$8,750,000"
Cameron Heyward,PIT,DT,"$8,750,000"
Duane Brown,SEA,LT,"$8,725,000"
Rodney Hudson,OAK,C,"$8,700,000"
DeSean Jackson,PHI,WR,"$8,675,000"
Akiem Hicks,CHI,DT,"$8,604,324"
Alex Mack,ATL,C,"$8,522,748"
Prince Amukamara,CHI,CB,"$8,521,840"
Jason Kelce,PHI,C,"$8,500,000"
Larry Warford,NO,G,"$8,500,000"
Tashaun Gipson,HOU,SS,"$8,437,500"
Ron Leary,DEN,G,"$8,437,500"
Derek Wolfe,DEN,DE,"$8,425,000"
Brian Burns,CAR,OLB,"$8,417,426"
Dontari Poe,CAR,DT,"$8,361,458"
Malcolm Jenkins,PHI,FS,"$8,350,000"
Jack Doyle,IND,TE,"$8,337,500"
Ezekiel Elliott,DAL,RB,"$8,288,964"
C.J. Uzomah,CIN,TE,"$8,278,291"
Anthony Castonzo,IND,LT,"$8,250,000"
Dexter Lawrence,NYG,DT,"$8,149,936"
John Miller,CIN,G,"$8,138,904"
Marcell Dareus,JAC,DT,"$8,085,000"
Charles Leno,CHI,LT,"$8,078,029"
Ezekiel Ansah,SEA,DE,"$8,062,500"
Nick Boyle,BAL,TE,"$8,058,860"
Carlos Dunlap,CIN,DE,"$8,054,709"
Dean Lowry,GB,DE,"$8,050,000"
Jamon Brown,ATL,G,"$8,031,330"
Gerald McCoy,CAR,DE,"$8,022,098"
Travis Carrie,CLE,CB,"$8,018,675"
Tony Jefferson,BAL,SS,"$8,005,350"
Trumaine Johnson,NYJ,CB,"$8,000,000"
Kelvin Beachum,NYJ,LT,"$8,000,000"
Zach Ertz,PHI,TE,"$8,000,000"
Jesse James,DET,TE,"$8,000,000"
Casey Hayward,LAC,CB,"$8,000,000"
Jared Cook,NO,TE,"$8,000,000"
Jadeveon Clowney,SEA,DE,"$8,000,000"
K.J. Wright,SEA,OLB,"$8,000,000"
Kenny Stills,HOU,WR,"$7,975,000"
Mike Daniels,DET,DT,"$7,968,750"
Robert Quinn,DAL,DE,"$7,964,563"
Bobby Hart,CIN,RT,"$7,941,115"
Jabaal Sheard,IND,DE,"$7,906,250"
Garrett Bradbury,MIN,C,"$7,884,360"
Kenny Vaccaro,TEN,SS,"$7,750,000"
Jason Pierre-Paul,TB,DE,"$7,750,000"
Noah Fant,DEN,TE,"$7,727,923"
Jeffery Simmons,TEN,DT,"$7,725,004"
Cameron Wake,TEN,OLB,"$7,671,875"
Jordan Reed,WAS,TE,"$7,671,000"
Trey Hopkins,CIN,C,"$7,653,605"
Darnell Savage,GB,S,"$7,618,772"
Andre Dillard,PHI,T,"$7,511,788"
Rob Havenstein,LAR,RT,"$7,500,000"
Donovan Smith,TB,LT,"$7,500,000"
Mario Addison,CAR,OLB,"$7,484,316"
Everson Griffen,MIN,DE,"$7,468,750"
Tytus Howard,HOU,G,"$7,406,308"
Patrick Peterson,ARI,CB,"$7,380,977"
Ronnie Stanley,BAL,LT,"$7,274,812"
Marqise Lee,JAC,WR,"$7,250,000"
Teddy Bridgewater,NO,QB,"$7,250,000"
Josh Jacobs,OAK,RB,"$7,193,836"
Marquise Brown,BAL,WR,"$7,141,342"
Davante Adams,GB,WR,"$7,125,000"
Trent Murphy,BUF,DE,"$7,070,803"
David DeCastro,PIT,G,"$7,070,000"
Joel Bitonio,CLE,G,"$7,035,650"
Cody Whitehair,CHI,G,"$7,031,387"
Matthew Ioannidis,WAS,DE,"$7,025,000"
Christian Kirksey,CLE,ILB,"$7,003,253"
Tyrone Crawford,DAL,DT,"$7,002,379"
Jerry Tillery,LAC,DT,"$7,001,707"
Gabe Jackson,OAK,G,"$7,000,000"
Albert Wilson,MIA,WR,"$7,000,000"
Zach Fulton,HOU,G,"$7,000,000"
Cameron Brate,TB,TE,"$7,000,000"
Montez Sweat,WAS,OLB,"$6,981,372"
Alex Okafor,KC,DE,"$6,953,125"
Eric Ebron,IND,TE,"$6,921,875"
Johnathan Abram,OAK,S,"$6,875,140"
Trey Burton,CHI,TE,"$6,808,179"
Bryan Bulaga,GB,RT,"$6,750,000"
Mark Barron,PIT,ILB,"$6,750,000"
Tyler Kroft,BUF,TE,"$6,727,947"
Ryan Kalil,NYJ,C,"$6,712,500"
Anthony Hitchens,KC,ILB,"$6,700,000"
David Johnson,ARI,RB,"$6,666,120"
Benardrick McKinney,HOU,ILB,"$6,656,250"
Buster Skrine,CHI,CB,"$6,591,481"
Tyreek Hill,KC,WR,"$6,529,500"
Ben Jones,TEN,C,"$6,500,000"
Robert Woods,LAR,WR,"$6,500,000"
Marvin Jones,DET,WR,"$6,500,000"
Bryce Callahan,DEN,CB,"$6,500,000"
Chris Hubbard,CLE,RT,"$6,468,750"
Greg Robinson,CLE,LT,"$6,423,196"
Danny Trevathan,CHI,ILB,"$6,417,038"
L.J. Collier,SEA,DE,"$6,395,784"
Willie Snead,BAL,WR,"$6,361,651"
Ty Nsekhe,BUF,RT,"$6,320,771"
Byron Jones,DAL,CB,"$6,309,112"
Brandon Mebane,LAC,DT,"$6,300,000"
Brian Winters,NYJ,G,"$6,281,250"
Laurent Duvernay-Tardif,KC,G,"$6,253,000"
Eric Weddle,LAR,FS,"$6,251,526"
Weston Richburg,SF,C,"$6,220,710"
Mark Glowinski,IND,G,"$6,200,000"
Demario Davis,NO,OLB,"$6,200,000"
Deandre Baker,NYG,CB,"$6,170,064"
Corey Linsley,GB,C,"$6,150,000"
Robbie Gould,SF,K,"$6,150,000"
Kaleb McGary,ATL,RT,"$6,117,269"
Wil Lutz,NO,K,"$6,100,000"
Marcus Cannon,NE,RT,"$6,056,250"
Nickell Robey-Coleman,LAR,CB,"$6,050,000"
Daryl Williams,CAR,RT,"$6,033,611"
Mark Ingram,BAL,RB,"$6,030,895"
Travis Frederick,DAL,C,"$6,027,180"
Brandon Carr,BAL,CB,"$6,024,053"
Allen Bailey,ATL,DE,"$6,014,939"
Chase Daniel,CHI,QB,"$6,004,847"
Avery Williamson,NYJ,ILB,"$6,000,000"
Jason Peters,PHI,LT,"$6,000,000"
Brandon Linder,JAC,C,"$6,000,000"
Tyrod Taylor,LAC,QB,"$6,000,000"
DaQuan Jones,TEN,DT,"$6,000,000"
Emmanuel Sanders,SF,WR,"$5,970,588"
Jaylon Smith,DAL,ILB,"$5,941,707"
Johnathan Joseph,HOU,CB,"$5,937,500"
Giovani Bernard,CIN,RB,"$5,918,307"
Jason McCourty,NE,CB,"$5,887,500"
N'Keal Harry,NE,WR,"$5,859,252"
Patrick Chung,NE,SS,"$5,809,375"
Justin Pugh,ARI,G,"$5,779,866"
Will Fuller,HOU,WR,"$5,775,120"
Nigel Bradham,PHI,OLB,"$5,750,000"
D.J. Hayden,JAC,CB,"$5,750,000"
Trai Turner,CAR,G,"$5,741,743"
Josh Kline,MIN,G,"$5,703,125"
Ronald Darby,PHI,CB,"$5,625,000"
Bobby McCain,MIA,FS,"$5,600,000"
James Carpenter,ATL,G,"$5,553,867"
J.R. Sweezy,ARI,G,"$5,551,787"
Taylor Gabriel,CHI,WR,"$5,515,684"
Tyler Lockett,SEA,WR,"$5,507,000"
Lamar Miller,HOU,RB,"$5,500,000"
Ryan Fitzpatrick,MIA,QB,"$5,500,000"
Malcom Brown,NO,DT,"$5,500,000"
Jason Myers,SEA,K,"$5,500,000"
Denzel Perryman,LAC,ILB,"$5,462,500"
Ryan Tannehill,TEN,QB,"$5,425,000"
Eddie Goldman,CHI,DT,"$5,371,357"
Paul Richardson,WAS,WR,"$5,312,500"
Steven Hauschka,BUF,K,"$5,281,739"
Cordarrelle Patterson,CHI,WR,"$5,250,000"
Thomas Davis,LAC,OLB,"$5,250,000"
