Year,Name,POS,Salary,Team Abbv.,Team Name,Division
2016,Torrey Smith,WR,"$6,000,000 ",SF,San Francisco 49ers,NFC West
2016,Cedric Thornton,DT,"$6,000,000 ",DAL,Dallas Cowboys,NFC East
2016,Lamarr Houston,OLB,"$6,000,000 ",CHI,Chicago Bears,NFC North
2016,Derrick Shelby,DT,"$6,000,000 ",ATL,Atlanta Falcons,NFC South
2016,Jordan Cameron,TE,"$6,000,000 ",MIA,Miami Dolphins,AFC East
2016,Tavon Austin,WR,"$5,897,884 ",LAR,Los Angeles Rams,NFC West
2016,Laquon Treadwell,WR,"$5,875,439 ",MIN,Minnesota Vikings,NFC North
2016,Willie Young,OLB,"$5,850,000 ",CHI,Chicago Bears,NFC North
2016,Josh Doctson,WR,"$5,847,119 ",WAS,Washington Commanders,NFC East
2016,Randall Cobb,WR,"$5,806,250 ",GB,Green Bay Packers,NFC North
2016,Ahmad Brooks,OLB,"$5,750,000 ",SF,San Francisco 49ers,NFC West
2016,Linval Joseph,DT,"$5,750,000 ",MIN,Minnesota Vikings,NFC North
2016,Mike Wallace,WR,"$5,750,000 ",BAL,Baltimore Ravens,AFC North
2016,Jonathan Stewart,RB,"$5,750,000 ",CAR,Carolina Panthers,NFC South
2016,William Jackson,CB,"$5,708,650 ",CIN,Cincinnati Bengals,AFC North
2016,Prince Amukamara,CB,"$5,687,500 ",JAC,Jacksonville Jaguars,AFC South
2016,Shawn Williams,SS,"$5,634,375 ",CIN,Cincinnati Bengals,AFC North
2016,Artie Burns,CB,"$5,625,259 ",PIT,Pittsburgh Steelers,AFC North
2016,Orlando Franklin,G,"$5,600,000 ",SD,San Diego Chargers,AFC West
2016,Richie Incognito,G,"$5,550,000 ",BUF,Buffalo Bills,AFC East
2016,Paxton Lynch,QB,"$5,541,852 ",DEN,Denver Broncos,AFC West
2016,Brandon Mebane,DT,"$5,500,000 ",SD,San Diego Chargers,AFC West
2016,Rishard Matthews,WR,"$5,500,000 ",TEN,Tennessee Titans,AFC South
2016,Brandon Carr,CB,"$5,500,000 ",DAL,Dallas Cowboys,NFC East
2016,Lardarius Webb,CB,"$5,500,000 ",BAL,Baltimore Ravens,AFC North
2016,Chris Hogan,WR,"$5,493,870 ",NE,New England Patriots,AFC East
2016,Kenny Clark,DE,"$5,458,470 ",GB,Green Bay Packers,NFC North
2016,Joshua Garnett,G,"$5,416,772 ",SF,San Francisco 49ers,NFC West
2016,Jamaal Charles,RB,"$5,312,500 ",KC,Kansas City Chiefs,AFC West
2016,Victor Cruz,WR,"$5,300,000 ",NYG,New  York Giants,NFC East
2016,K.J. Wright,OLB,"$5,250,000 ",SEA,Seattle Seahawks,NFC West
2016,DeAndre Levy,OLB,"$5,250,000 ",DET,Detroit Lions,NFC North
2016,Marquette King,P,"$5,250,000 ",OAK,Oakland Raiders,AFC West
2016,Ryan Kerrigan,OLB,"$5,250,000 ",WAS,Washington Commanders,NFC East
2016,Martellus Bennett,TE,"$5,214,153 ",NE,New England Patriots,AFC East
2016,Kam Chancellor,SS,"$5,100,000 ",SEA,Seattle Seahawks,NFC West
2016,LeSean McCoy,RB,"$5,050,000 ",BUF,Buffalo Bills,AFC East
2016,T.J. Lang,G,"$5,043,750 ",GB,Green Bay Packers,NFC North
2016,Chad Henne,QB,"$5,000,035 ",JAC,Jacksonville Jaguars,AFC South
2016,Michael Johnson,DE,"$5,000,000 ",CIN,Cincinnati Bengals,AFC North
2016,Michael Bennett,DE,"$5,000,000 ",SEA,Seattle Seahawks,NFC West
2016,Doug Baldwin,WR,"$5,000,000 ",SEA,Seattle Seahawks,NFC West
2016,Robert Mathis,OLB,"$5,000,000 ",IND,Indianapolis Colts,AFC South
2016,Patrick Robinson,CB,"$5,000,000 ",IND,Indianapolis Colts,AFC South
2016,Da'Norris Searcy,SS,"$5,000,000 ",TEN,Tennessee Titans,AFC South
2016,Ben Jones,C,"$5,000,000 ",TEN,Tennessee Titans,AFC South
2016,Mike Daniels,DT,"$5,000,000 ",GB,Green Bay Packers,NFC North
