Year,Player Name,POS,Salary,Team Abbv.,Team Full Name,Divison
2022,Justin Jones ,DT,"$7,100,000 ",CHI,Chicago Bears,NFC North
2022,Connor Williams ,C,"$7,035,000 ",MIA,Miami Dolphins,AFC East
2022,Rasul Douglas ,CB,"$7,000,000 ",GB,Green Bay Packers,NFC North
2022,Michael Pierce ,DT,"$7,000,000 ",BAL,Baltimore Ravens,AFC North
2022,Michael Brockers ,DT,"$7,000,000 ",DET,Detroit Lions,NFC North
2022,Halapoulivaati Vaitai ,G,"$7,000,000 ",DET,Detroit Lions,NFC North
2022,Charles Harris ,DE,"$7,000,000 ",DET,Detroit Lions,NFC North
2022,Leonard Fournette ,RB,"$7,000,000 ",TB,Tampa Bay Buccaneers,NFC South
2022,Ted Karras ,C,"$7,000,000 ",CIN,Cincinnati Bengals,AFC North
2022,Darren Waller ,TE,"$6,843,750 ",LV,Los Angeles Rams,AFC West
2022,Cole Strange ,G,"$6,798,432 ",NE,New England Patriots,AFC East
2022,Tyler Conklin ,TE,"$6,750,000 ",NYJ,New York Jets,AFC East
2022,Marcus Mariota ,QB,"$6,750,000 ",ATL,Atlanta Falcons,NFC South
2022,Kenny Moore ,CB,"$6,750,000 ",IND,Indianapolis Colts,AFC South
2022,Roy Robertson-Harris ,DT,"$6,729,406 ",JAC,Jacksonville Jaguars,AFC South
2022,Jordan Poyer ,SS,"$6,700,000 ",BUF,Buffalo Bills,AFC East
2022,Denico Autry ,DE,"$6,650,000 ",TEN,Tennessee Titans,AFC South
2022,Tyler Higbee ,TE,"$6,625,000 ",LAR,Los Angeles Rams,NFC West
2022,Jerome Baker ,OLB,"$6,605,000 ",MIA,Miami Dolphins,AFC East
2022,George Karlaftis ,DE,"$6,565,344 ",KC,Kansas City Chiefs,AFC West
2022,Bobby Wagner ,ILB,"$6,500,000 ",LAR,Los Angeles Rams,NFC West
2022,Trenton Brown ,RT,"$6,500,000 ",NE,New England Patriots,AFC East
2022,Teddy Bridgewater ,QB,"$6,500,000 ",MIA,Miami Dolphins,AFC East
2022,Taron Johnson ,CB,"$6,500,000 ",BUF,Buffalo Bills,AFC East
2022,Braxton Berrios ,WR,"$6,500,000 ",NYJ,New York Jets,AFC East
2022,Gerald Everett ,TE,"$6,500,000 ",LAC,Los Angeles Chargers,AFC West
2022,Dorance Armstrong ,DE,"$6,500,000 ",DAL,Dallas Cowboys,NFC East
2022,Samson Ebukam ,OLB,"$6,500,000 ",SF,San Francisco 49ers,NFC West
2022,Vonn Bell ,FS,"$6,488,235 ",CIN,Cincinnati Bengals,AFC North
2022,Ian Thomas ,TE,"$6,435,000 ",CAR,Carolina Panthers,NFC South
2022,Daxton Hill ,S,"$6,370,100 ",CIN,Cincinnati Bengals,AFC North
2022,Mark Glowinski ,G,"$6,350,000 ",NYG,New  York Giants,NFC East
2022,Mo Alie-Cox ,TE,"$6,320,000 ",IND,Indianapolis Colts,AFC South
2022,Pat Elflein ,G,"$6,297,059 ",CAR,Carolina Panthers,NFC South
2022,Mitchell Trubisky ,QB,"$6,285,000 ",PIT,Pittsburgh Steelers,AFC North
2022,Kareem Hunt ,RB,"$6,250,000 ",CLE,Cleveland Browns,AFC North
2022,Charles Leno ,LT,"$6,250,000 ",WAS,Washington Commanders,NFC East
2022,Cordarrelle Patterson ,RB,"$6,250,000 ",ATL,Atlanta Falcons,NFC South
2022,Tim Patrick ,WR,"$6,249,998 ",DEN,Denver Broncos,AFC West
2022,Lewis Cine ,S,"$6,244,384 ",MIN,Minnesota Vikings,NFC North
2022,Rodger Saffold ,G,"$6,220,000 ",BUF,Buffalo Bills,AFC East
2022,Xavier Woods ,S,"$6,135,000 ",CAR,Carolina Panthers,NFC South
2022,Chase Edmonds ,RB,"$6,100,000 ",MIA,Miami Dolphins,AFC East
2022,DeVante Parker ,WR,"$6,025,720 ",NE,New England Patriots,AFC East
